Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
42,sonymusicindiaVEVO,http://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ,SonyMusicIndiaVEVO,Music & Dance,42400000,India,32100,481,39
43,DjWalkzz,http://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,Alan Walker,Music & DanceMovies,42100000,United States,461800,28200,1700
44,Bad Bunny,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,Music & DanceMovies,41800000,Mexico,100500000,1800000,43500
45,Like Nastya Show,http://youtube.com/channel/UCS94J1s6-qc8v7btCdS2pNg,Like Nastya Show,AnimationToys,41400000,,91300,772,
46,A4,http://youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA,A4,AnimationHumor,40700000,Russia,9400000,443900,22900
47,speedrecordss,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,Music & Dance,40600000,India,33100,1400,65
48,getmovies,http://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA,Get Movies,,40600000,,81400,446,
49,ABSCBNOnline,http://youtube.com/channel/UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,,40200000,Philippines,1800,27,1
50,LittleBabyBum,http://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs,AnimationToys,39300000,,123400,380,
51,LuisitoComunicaa,http://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,,39000000,Mexico,4300000,139100,5100
52,ShemarooEnt,http://youtube.com/channel/UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,,38500000,India,204700,1400,19
53,MashaMedvedTV,http://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q,Маша и Медведь,Education,38400000,,1100000,6900,
54,TheEllenShow,http://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,,38400000,United States,19900,537,31
55,Voot Kids,http://youtube.com/channel/UCJg19noZp7-BYIGvypu_cow,Voot Kids,MoviesAnimation,38200000,,929500,7700,
56,venus,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,Music & Dance,37600000,India,21800,329,15
57,luccasneto,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA,LUCCAS NETO - LUCCAS TOON,MoviesAnimation,37600000,Brazil,416300,11800,
58,gr6explode,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,Music & Dance,37600000,Brazil,76700,4700,123
59,XXXTENTACION,http://youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION,Music & Dance,37500000,United States,463400,48900,2600
60,Kimberly Loaiza,http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,Daily vlogs,37000000,Mexico,7900000,489100,38500
61,shakira,http://youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,,36800000,United States,382100,28800,609
62,WorkpointOfficial,http://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial,,36800000,Thailand,8000,114,5
63,Toys and Colors,http://youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,MoviesToys,36400000,,2000000,4500,
64,shfa,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg,shfa,Daily vlogs,35700000,France,3100000,53800,
65,shfa2 - شفا,http://youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ,shfa2 - شفا,Daily vlogs,35600000,,517200,4900,
66,TEDxTalks,http://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,,35600000,United States,171,5,
67,Jkk Entertainment,http://youtube.com/channel/UC5tuYcCdiKuF5Y2ZonuarwA,Jkk Entertainment,,35400000,India,7300000,54000,675
68,SuperSimpleSongs,http://youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,Music & Dance,34700000,,3300000,6900,
69,Masha and The Bear,http://youtube.com/channel/UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,AnimationToys,34500000,,1400000,7300,
70,gmmonetv,http://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA,one31,,34200000,Thailand,6100,109,3
71,Goldmines Gaane Sune Ansune,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune,Music & Dance,33900000,India,32800,309,16
72,JbalvinTube,http://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin,Music & Dance,33500000,Colombia,2600000,68800,2900
73,Like Nastya ESP,http://youtube.com/channel/UCpEJRZdSpdVZ8vh63T9I2KQ,Like Nastya ESP,,33400000,,263600,924,
74,YouTube,http://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ,YouTube,,33300000,United States,103900,7300,
75,vegetta777,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,Video games,33200000,Mexico,303700,25900,257
76,markiplierGAME,http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,AnimationVideo games,33100000,United States,3200000,167500,6900
77,Total Gaming,http://youtube.com/channel/UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming,,33000000,India,1300000,110300,5800
78,abpnewstv,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,News & Politics,32900000,India,4000,45,4
