Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
182,Mister Max,http://youtube.com/channel/UC_8PAD0Qmi6_gpe77S1Atgg,Mister Max,DIY & Life Hacks,23000000,Russia,1700000,45400,719
183,SesameStreet,http://youtube.com/channel/UCoookXUzPciGrEZEXmh4Jjg,Sesame Street,,23000000,,167400,673,
184,EnriqueIglesiasPlay,http://youtube.com/channel/UC-6czyMkxDi8E8akPl0c7_w,Enrique Iglesias,Music & Dance,22800000,United States,32500,3200,154
185,JellyYT,http://youtube.com/channel/UC0DZmkupLYwc0yDsfocLh0A,Jelly,Video games,22800000,United States,194100,9600,357
186,mildicasdemulher,http://youtube.com/channel/UC0ebPa2q1rwZVN7dYemunUQ,Erlania e Valentina Pontes,,22600000,Brazil,337100,5400,47
187,netdmuzikk,http://youtube.com/channel/UCR5wZcXtOUka8jTA57flzMg,netd müzik,Music & Dance,22600000,Turkey,13800,311,54
188,DrossRotzank,http://youtube.com/channel/UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,,22600000,Mexico,1600000,116400,5200
189,shemaroomovies,http://youtube.com/channel/UCBOmfqgTZi7yDp4-3Lr_3lA,Shemaroo Movies,,22400000,India,219000,1400,24
190,THECHAINSMOKERS,http://youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg,The Chainsmokers,Humor,22300000,United States,634700,18900,544
191,onemeeeliondollars,http://youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,Science & Technology,22200000,United States,13000000,584700,19200
192,Frost Diamond,http://youtube.com/channel/UC4hGmH5sABOA70D4fGb8qNQ,Frost Diamond,Music & DanceVideo games,22200000,Indonesia,685400,35000,1600
193,Technical Guruji,http://youtube.com/channel/UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,,22200000,India,87100,6500,757
194,Goldmines Bollywood,http://youtube.com/channel/UCOF23vGxkbhN4wl7ROrgXsA,Goldmines Bollywood,,22000000,India,21900,131,6
195,gmmgrammyofficial,http://youtube.com/channel/UCG9gfnA5UDoLvz-tC9B-HKw,GMM GRAMMY OFFICIAL,Music & Dance,22000000,Thailand,3200,63,3
196,Miss Katy,http://youtube.com/channel/UCcartHVtvAUzfajflyeT_Gg,Miss Katy,Video games,22000000,Russia,1700000,25400,925
197,Smile Family,http://youtube.com/channel/UCjZ-Ekz7JDN6GDXwusvSHvg,Smile Family,MoviesToys,22000000,,379500,2300,
198,mmoshaya,http://youtube.com/channel/UCPOw2O3_uZ1doro9iR4x6vw,mmoshaya,,22000000,Saudi Arabia,2400000,40400,1800
199,Like Nastya AE,http://youtube.com/channel/UC3I1iohrGzxep0p8r1Osw3w,Like Nastya AE,,22000000,,477500,3500,
200,WB Kids,http://youtube.com/channel/UC9trsD1jCTXXtN3xIOIU8gg,WB Kids,MoviesAnimation,22000000,,50300,591,
201,The Lallantop,http://youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,News & Politics,21800000,India,31500,717,113
202,Crazy XYZ,http://youtube.com/channel/UCebC4x5l2-PQxg46Ucv9CsA,Crazy XYZ,,21800000,India,2800000,257800,10500
203,VenusMovies,http://youtube.com/channel/UCpcsv3Ow-8IhoUGDEfPetsQ,Venus Movies,,21800000,India,69700,639,51
204,HumNetwork,http://youtube.com/channel/UCEeEQxm6qc_qaTE7qTV5aLQ,HUM TV,,21600000,Pakistan,2200,16,1
205,WHBBP,http://youtube.com/channel/UCopY0NAzASqmD6eVaRj2TFQ,White Hill Music,Music & Dance,21600000,India,28400,1000,47
206,Paulo Londra,http://youtube.com/channel/UCzI7wZyqk7jpXWT_MILjepw,Paulo Londra,Music & Dance,21600000,Argentina,13400000,982900,28800
207,TEDtalksDirector,http://youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED,,21600000,United States,46000,1300,149
208,siavideos,http://youtube.com/channel/UCN9HPn2fq-NL8M5_kp4RWZQ,Sia,Music & Dance,21600000,United States,79300,6900,686
209,AmericasGotTalent,http://youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ,America's Got Talent,Music & DanceMovies,21400000,United States,1200000,19100,622
210,Diana and Roma ARA,http://youtube.com/channel/UCtm3DGXkWqAUQZMHl97SVxA,Diana and Roma ARA,,21400000,,1600000,10300,
211,oRugrat,http://youtube.com/channel/UCilwZiBBfI9X6yiZRzWty8Q,FaZe Rug,Video gamesHumor,21400000,United States,3300000,112500,6900
212,PeppaLatinoAmericano,http://youtube.com/channel/UCrreHSUa5rnuCVDeO8dX4eA,Peppa Pig Español Latino - Canal Oficial,Toys,21300000,,766700,4800,
213,hamaarbhojiwood,http://youtube.com/channel/UCYLlkv4hivYJlOk6Lo-RHNQ,Wave Music Bhojpuri,Music & Dance,21200000,India,11400,201,24
214,goldmineshindi,http://youtube.com/channel/UCs570zdFq_NNA5OcV8chnHw,Goldmines Movies,,21100000,India,7900,70,4
215,PenIndiaPvtLimited,http://youtube.com/channel/UC3ar28GS6o1p0m_wabfk2zw,Pen Movies,MoviesAnimation,21000000,India,55700,1900,113
216,Tasty,http://youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,Food & Drinks,21000000,United States,245700,8700,348
217,BabyBus - Canciones Infantiles & Cuentos,http://youtube.com/channel/UCy_rxpSt8DMagOUFA9Q-t1A,BabyBus - Canciones Infantiles & Cuentos,MoviesAnimation,21000000,,124600,574,
218,5-Minute Crafts DIY,http://youtube.com/channel/UC2etEuPIfohP4P53wM0KImA,5-Minute Crafts DIY,Music & DanceHumor,20900000,India,22700,403,13
219,SSundee,http://youtube.com/channel/UCke6I9N4KfC968-yRcd5YRg,SSundee,Video games,20900000,United States,2000000,103800,3500
220,FGTeeV,http://youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,AnimationVideo games,20800000,United States,1400000,17400,2200
221,Baim Paula,http://youtube.com/channel/UC5xAPCVizxOfnMECMXkal2Q,Baim Paula,Music & DanceMovies,20800000,Indonesia,912900,38300,2500
222,CanalCanalha,http://youtube.com/channel/UCPHXtOVmjvbP9OJihsd7gCg,Canal Canalha,Sports,20800000,Brazil,1300000,201700,4200
223,Juan De Dios Pantoja,http://youtube.com/channel/UCzoUWqjCbcfWFdOMvoep8FA,Juan De Dios Pantoja,Daily vlogs,20800000,Mexico,4300000,286400,4600
224,Like Nastya PRT,http://youtube.com/channel/UCtyr6UXUdZJJHuWGKzoiLfg,Like Nastya PRT,,20600000,,418000,2100,
225,PrestonPlayz,http://youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ,Preston,AnimationVideo games,20600000,United States,4000000,88100,2400
226,JakePaulProductions,http://youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,Fitness,20400000,United States,1200000,63600,5100
227,CharliesVlogs,http://youtube.com/channel/UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth,Music & Dance,20400000,United States,92300000,5800000,367600
228,Goldmines Cineplex,http://youtube.com/channel/UCCrw5RBWF9i8VPt4IxL8IsQ,Goldmines Cineplex,,20400000,India,7900,103,5
229,BuzzFeedVideo,http://youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,Food & Drinks,20400000,United States,27100,747,105
230,DisneyChannelLA,http://youtube.com/channel/UCq3zaHCaZtb3TtNwwz0PK2w,Disney Latinoamérica,,20400000,,28900,282,
231,Kids TV - Nursery Rhymes And Baby Songs,http://youtube.com/channel/UC7Pq3Ko42YpkCB_Q4E981jw,Kids TV - Nursery Rhymes And Baby Songs,Toys,20400000,,119100,435,
232,BeckyGOfficial,http://youtube.com/channel/UCgtNC51EUSgcZ6kKyVoPxKA,Becky G,Music & Dance,20400000,United States,55800,3000,92
233,TheEnaldinhO,http://youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA,Enaldinho,Movies,20400000,Brazil,478600,31500,453
234,Brave Wilderness,http://youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg,Brave Wilderness,,20200000,United States,1400000,51800,5400
235,NationalGeographic,http://youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,,20200000,United States,46500,1200,92
236,TheFineBros,http://youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ,REACT,Humor,20200000,United States,138800,5700,355
237,AuthenticGames,http://youtube.com/channel/UCIPA6iWNaoetaa1T46RkzXw,AuthenticGames,MoviesVideo games,20200000,Brazil,31900,3400,155
238,LazarBeam,http://youtube.com/channel/UCw1SQ6QRRtfAhrN_cjkrOgA,LazarBeam,AnimationVideo games,20100000,United States,3400000,143500,5000000
239,VEVO,http://youtube.com/channel/UC2pmfLm7iq6Ov1UwYrWYkZA,Vevo,Music & Dance,20000000,United States,5400,224,4
240,MrBeast en Español,http://youtube.com/channel/UCNAhW2oJvy_FUU082pEDspA,MrBeast en Español,,20000000,Mexico,11500000,463400,17000000
241,SlivkiChanel,http://youtube.com/channel/UCU_yU4xGT9hrVFo6euH8LLw,SlivkiShow,Video games,20000000,Russia,2100000,167500,16600
242,5-Minute Crafts PLAY,http://youtube.com/channel/UC57XAjJ04TY8gNxOWf-Sy0Q,5-Minute Crafts PLAY,,20000000,India,29500,252,13
243,starplus,http://youtube.com/channel/UC-LPIU24bQXVljUXivKEeRQ,StarPlus,,20000000,India,237200,4600,100
244,HaerteTest,http://youtube.com/channel/UCqsS8fU6yVxrJr5y_CoUn3w,HaerteTest,,20000000,India,65500,567,17
245,Brent Rivera,http://youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg,Brent Rivera,Video gamesHumor,19900000,United States,7500000,531900,10600
246,rossbollinger,http://youtube.com/channel/UCUAL--p3qAa27luR0IYbjZA,Pencilmation,AnimationHumor,19800000,United States,497300,5900,112
247,Mnet,http://youtube.com/channel/UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,Music & DanceAnimation,19800000,United States,17300,1700,81
248,RotanaAudio,http://youtube.com/channel/UCNhqvQMXIgRfjAGmxQqdNRw,Rotana,Music & Dance,19800000,Saudi Arabia,331700,2400,77
249,UltraMovieParlour,http://youtube.com/channel/UCYauDsl-rswjQGpA0_-Z9Pw,Ultra Movie Parlour,,19700000,India,84900,808,37
250,GooodLifeFilms,http://youtube.com/channel/UCtylTUUVIGY_i5afsQYeBZA,Lyrical Lemonade,,19600000,United States,2900000,242300,7200
251,D Billions,http://youtube.com/channel/UCi3onjs7UU2Z64i3RrVci-Q,D Billions,,19600000,,1100000,1500,
252,Noor Stars,http://youtube.com/channel/UChOPyo-uWLVi5uO53mSBX-w,Noor Stars,MoviesHumor,19400000,Iraq,1400000,118200,6300
253,toyorbabytv,http://youtube.com/channel/UCHAbNxkU837UAkZ-OPtdUUw,toyorbabytv,Music & Dance,19400000,,94900,,
254,TelenovelaTelevisa,http://youtube.com/channel/UCKyU-wd-KY4PMOcOpPQgQcw,Tlnovelas,,19400000,Mexico,4200,134,2
255,shfa show India,http://youtube.com/channel/UCNvYCW3cMbkWy2g2v4Wb6xw,shfa show India,Daily vlogs,19400000,,1700000,13000,
256,Vlad and Niki Arabic,http://youtube.com/channel/UCP9MW9ATjUwwulqEYTbp-Mw,Vlad and Niki Arabic,,19400000,,1300000,8100,
257,gottalentglobal,http://youtube.com/channel/UCe_Fx4EZAgKjDz0aQ_Y7hSA,Got Talent Global,,19400000,United States,132900,2100,92
258,MrVivekBindra,http://youtube.com/channel/UCR-foyF-C6VuAlwy3KZMkgA,Dr. Vivek Bindra: Motivational Speaker,Education,19400000,India,399500,22100,678
259,romeo,http://youtube.com/channel/UCyxbZF7_PK4nLiexj0kkCNg,Romeo Santos,Music & Dance,19300000,United States,429800,11300,423
260,MARVEL,http://youtube.com/channel/UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,MoviesAnimation,19200000,United States,246900,13800,536
261,gordonramsay,http://youtube.com/channel/UCIEv3lZ_tNXHzL3ox-_uUGQ,Gordon Ramsay,Food & DrinksHealth & Self Help,19200000,United States,154600,4700,307
262,Infinite,http://youtube.com/channel/UC_hSjGOO67A6gIDUcyuv_8A,Infinite,Video gamesHumor,19200000,United States,1700000,55700,5300
263,Troom Troom Es,http://youtube.com/channel/UCu6oyJJ6PlkeNNv6n26ZNyA,Troom Troom Es,,19200000,Mexico,139400,2600,36
264,Gusttavo Lima Oficial,http://youtube.com/channel/UCXooz9whNJZBRTHi9AqdjPw,Gusttavo Lima Oficial,Music & Dance,19200000,Brazil,0,,
265,gmapublicaffairs,http://youtube.com/channel/UCj5RwDivLksanrNvkW0FB4w,GMA Public Affairs,News & Politics,19200000,Philippines,7400,101,7
266,DLS News,http://youtube.com/channel/UCw0ry7cLRUnq3Oaszlhgqfg,DLS News,News & Politics,19000000,India,69700,2300,179
267,fatosdesconhecidos,http://youtube.com/channel/UCbAiIkPobUFy71zlmwVw3jw,Fatos Desconhecidos,Science & Technology,19000000,Brazil,167100,15500,545
268,Crafty Panda,http://youtube.com/channel/UC03RvJoIhm_fMwlUpm9ZvFw,Crafty Panda,Music & Dance,19000000,India,64900,535,13
269,RobinHoodGamer1,http://youtube.com/channel/UCYtaoJSk9iIrFxx8eZB15ag,Robin Hood Gamer,AnimationVideo games,19000000,Brazil,961400,77600,922
270,corbuzierprediction,http://youtube.com/channel/UCYk4LJI0Pr6RBDWowMm-KUw,Deddy Corbuzier,,19000000,Indonesia,3200000,73300,8400
271,NBA,http://youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,NBA,Sports,19000000,United States,76600,3000,146
272,LankyBox,http://youtube.com/channel/UCSf0s2ogUVYpJPuzW1zpAOg,LankyBox,Video games,19000000,United States,708600,11000,397
273,Kinder Spielzeug Kanal,http://youtube.com/channel/UCVEDZVtA5NUtjxSXHjtvkag,Kinder Spielzeug Kanal,AnimationToys,19000000,,245400,1300,
274,★ Kids Roma Show,http://youtube.com/channel/UCx790OVgpTC1UVBQIqu3gnQ,★ Kids Roma Show,AnimationToys,18800000,,860800,4900,
275,The ACE Family,http://youtube.com/channel/UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,Humor,18800000,United States,1200000,46900,1700
276,OfficialClashOfClans,http://youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,MoviesAnimation,18800000,United States,3800000,78200,2000000
277,JimmyKimmelLive,http://youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,Movies,18800000,United States,139700,3800,289
278,Kurzgesagt,http://youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Education,18800000,United States,4900000,340400,16400
279,Eva Bravo Play,http://youtube.com/channel/UCvYhgH0hXziSz9IyPztzUug,Eva Bravo Play,,18700000,,414700,2800,
280,Lil Nas X,http://youtube.com/channel/UC_uMv3bNXwapHl8Dzf2p01Q,Lil Nas X,Music & Dance,18600000,United States,334500,25600,1900
281,BritainsGotTalent09,http://youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,Music & DanceMovies,18600000,United Kingdom,80400,1600,42
282,TheWillyrex,http://youtube.com/channel/UC4LHNX8d8RqnDX0OezgmCTg,TheWillyrex,,18600000,Spain,41500,2300,
283,TRT Originals Urdu,http://youtube.com/channel/UCfiM9_Me5QJBEr0PItkbXgw,TRT Originals Urdu,,18600000,Pakistan,301400,13300,326
284,greengoldtv,http://youtube.com/channel/UCiBigY9XM-HaOxUc269ympg,Green Gold TV - Official Channel,,18400000,,442400,3600,
285,Netflix India,http://youtube.com/channel/UCZSNzBgFub_WWil6TOTYwAg,Netflix India,,18400000,India,150400,4000,116
286,icreateddisco,http://youtube.com/channel/UCIjYyZxkFucP_W-tmXg_9Ow,Calvin Harris,Music & Dance,18400000,United States,473800,16500,818
287,Cardi B,http://youtube.com/channel/UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,Music & Dance,18400000,United States,517400,28600,2700
288,Sun TV,http://youtube.com/channel/UCBnxEdpoZwstJqC1yZpOjRA,Sun TV,,18400000,India,178200,3000,31
289,sonotekvideo,http://youtube.com/channel/UC3zVeAaoPEN1Tu25dW3G2Ig,Sonotek,Music & Dance,18200000,India,122700,543,33
290,PinkPanther,http://youtube.com/channel/UCFeUyPY6W8qX8w2o6oSiRmw,Official Pink Panther,MoviesAnimation,18200000,,674600,4900,
291,Unbox Therapy,http://youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,Science & Technology,18200000,United States,1100000,8400,1200
292,Ninja Kidz TV,http://youtube.com/channel/UCpZ88DWlKW0H_AYDaUZptcw,Ninja Kidz TV,Video games,18200000,United States,793900,18800,1300
293,HiMan,http://youtube.com/channel/UCM44x9uWlx__9M9Y2IFhxzQ,HiMan,Video games,18200000,Russia,3200000,166700,5200
294,CookieSwirlC,http://youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g,CookieSwirlC,Video games,18200000,United States,510500,3800,619
295,turmadamonicaTV,http://youtube.com/channel/UCV4XcEqBswMCryorV_gNENw,Turma da Mônica,,18200000,,110300,1100,
296,kbsworld,http://youtube.com/channel/UC5BMQOsAB8hKUyHu9KI6yig,KBS WORLD TV,,18200000,Indonesia,8500,264,10
297,Beast Reacts,http://youtube.com/channel/UCUaT_39o1x6qWjz7K2pWcgw,Beast Reacts,,18100000,United States,10800000,326600,9100
298,INCRÍVEL,http://youtube.com/channel/UCIQPHl1WKKTt9KkWyo_JNig,INCRÍVEL,Animation,18000000,,23200,1100,30
299,MiawAug,http://youtube.com/channel/UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,Video games,18000000,Indonesia,889600,39800,3100
300,PDKFilms,http://youtube.com/channel/UC-F6LZSWz34xKknY8NNCzgQ,PDK Films,MoviesAnimation,18000000,United States,1700000,35900,1100
301,Мирошка ТВ,http://youtube.com/channel/UCUYA9nNP2Pgz5RF_oMvnqdQ,Мирошка ТВ,,18000000,United States,14600,81,4
302,DanielSaboya,http://youtube.com/channel/UCEUf_uUDUfJJ3XfgwOxm-0A,Dan-Sa / Daniel Saboya,Music & DanceAnimation,18000000,Brazil,42400,1600,35
303,GEN HALILINTAR,http://youtube.com/channel/UCfRNJiafEm1LBBGFTTq4cXw,GEN HALILINTAR,Music & DanceHumor,18000000,Indonesia,983200,26400,226
304,TheOdd1sOut,http://youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,MoviesAnimation,18000000,United States,6000000,404500,24100
305,BabyBus - Cerita & Lagu Anak-anak,http://youtube.com/channel/UC5v3gjCQLFeg8eBXO7ShdpQ,BabyBus - Cerita & Lagu Anak-anak,MoviesHumor,18000000,,292700,1400,
306,ElTrollino,http://youtube.com/channel/UCI2FmVp--YL8d7iVFt8mmxg,ElTrollino,AnimationVideo games,18000000,Mexico,3000000,95600,2100
307,Lele Pons,http://youtube.com/channel/UCi9cDo6239RAzPpBZO9y5SA,Lele Pons,MoviesHumor,17800000,United States,38100,2000,32
308,farrukotv,http://youtube.com/channel/UCqFhfan_P2AmGVB1X2B-3Aw,Farruko,Music & Dance,17800000,United States,92900,7000,276
309,Emiway Bantai,http://youtube.com/channel/UCHmk8iNJHvf5mGN6_pkPc7g,Emiway Bantai,Music & Dance,17800000,India,6200000,499500,93700
310,therealdemilovato,http://youtube.com/channel/UCZkURf9tDolFOeuw_4RD7XQ,Demi Lovato,Music & Dance,17800000,United States,55700,6900,267
311,invictorgs3,http://youtube.com/channel/UChOQkbLHWi3zSCUjT7Kjd1g,invictor,AnimationVideo games,17800000,Mexico,1300000,56700,993
312,The Royalty Family,http://youtube.com/channel/UCja7QUMRG9AD8X2F_vXFb9A,The Royalty Family,Humor,17800000,United States,3400000,110700,
313,Matroix,http://youtube.com/channel/UCYVinkwSX7szARULgYpvhLw,Ali-A,Video games,17800000,United States,625600,23500,1300
314,rhettandlink2,http://youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,Food & Drinks,17800000,United States,1100000,34200,1300
315,Naisa Alifia Yuriza (N.A.Y),http://youtube.com/channel/UCtjFp8VXWIscsqQ2wokpo3Q,Naisa Alifia Yuriza (N.A.Y),Music & DanceMovies,17800000,Indonesia,802900,33700,718
316,Lil Pump,http://youtube.com/channel/UC6pjHMC4QXMi4llCCjtDXWg,Lil Pump,Music & Dance,17800000,United States,770600,41300,3600
317,Like Nastya Vlog,http://youtube.com/channel/UCCI5Xsd_gCbZb9eTeOf9FdQ,Like Nastya Vlog,Daily vlogs,17800000,,497600,2200,
318,TheElenaYa,http://youtube.com/channel/UCl_P0sCqxOdQpMwuajdXkRg,Diana and Roma EN,AnimationToys,17800000,,474000,2400,
319,A_S Gaming,http://youtube.com/channel/UCMrvxKTx9hLhZcOvJkYOnAw,A_S Gaming,,17700000,India,501900,46400,1100
320,dj47maryn,http://youtube.com/channel/UCf31Gf5nCU8J6eUlr7QSU0w,Marmok,AnimationVideo games,17600000,Russia,3500000,335700,14000000
321,Vania Mania Kids,http://youtube.com/channel/UCLbyJSPEe2lx3jY-G0CFR3g,Vania Mania Kids,AnimationToys,17600000,,722800,1900,
322,TheGrefg,http://youtube.com/channel/UCCEmjNPpJYhGDgaEqeeA4HA,TheGrefg,AnimationVideo games,17600000,Spain,1200000,101600,1200
323,SCTVIndonesia,http://youtube.com/channel/UC_vsErcsq56hOscPHkG-aVw,SCTV,Music & DanceMovies,17600000,Indonesia,13400,293,12
324,SockeyeMedia,http://youtube.com/channel/UC6zPzUJo8hu-5TzUk8IEC2Q,Mother Goose Club Playhouse,Music & Dance,17600000,,76600,164,
325,FactTechz,http://youtube.com/channel/UCGdPm5Aq081vVD7ih9jZf6Q,FactTechz,,17500000,India,662600,55900,1900
326,rsiammusic,http://youtube.com/channel/UCLcCpNY-zaL3vEERD5rh5Ew,RsiamMusic : อาร์สยาม,Music & Dance,17500000,Thailand,9200,216,12
327,Heidi & Zidane बच्चों की कहानियाँ,http://youtube.com/channel/UCC9Iz-AebxsyVF4iZagOtwA,Heidi & Zidane बच्चों की कहानियाँ,Daily vlogs,17500000,,253500,1200,
328,Little Angel Español - Canciones Infantiles,http://youtube.com/channel/UCTdRly9T3iyCJFjmRoCaepQ,Little Angel Español - Canciones Infantiles,Animation,17500000,,624200,3700,
329,ThePoznavatel,http://youtube.com/channel/UCXTMoE1XgvxN4iCt5-gZzCw,Познаватель,ToysDIY & Life Hacks,17500000,Russia,3800000,57700,2600
330,Stubborn Facts,http://youtube.com/channel/UCJZ5gFXzSZ9i-R1HEnS8U_A,Stubborn Facts,,17300000,India,44900,2500,95
331,portadosfundos,http://youtube.com/channel/UCEWHPFNilsT0IfQfutVzsag,Porta dos Fundos,MoviesAnimation,17300000,Brazil,745700,78600,1500
332,SebastianYatra,http://youtube.com/channel/UCssFxr-IdIa-wpG3jUXYrmw,Sebastián Yatra,Music & Dance,17300000,Colombia,16700,1300,19
333,RobleisIUTU,http://youtube.com/channel/UCG8eSYvOQUpb9HM8zU5d6xg,RobleisIUTU,MoviesAnimation,17300000,Argentina,935600,55000,1100
334,Vlad and Niki IDN,http://youtube.com/channel/UCgG9IWOPcCIfQoI00xQBUbg,Vlad and Niki IDN,Music & DanceMovies,17300000,,745400,1800,
335,officialpsy,http://youtube.com/channel/UCrDkAvwZum-UTjHmzDI2iIw,officialpsy,Music & Dance,17300000,United States,282000,14400,566
336,etvteluguindia,http://youtube.com/channel/UCSs9H1cyB3OHdy8wkit8ZKg,etvteluguindia,,17200000,India,13400,148,2
337,Village Cooking Channel,http://youtube.com/channel/UCk3JZr7eS3pg5AGEvBdEvFg,Village Cooking Channel,,17200000,India,3900000,172300,3900
338,aMOODIEsqueezie,http://youtube.com/channel/UCWeg2Pkate69NFdBeuRFTAw,SQUEEZIE,,17100000,France,5900000,476000,8100
339,Willyrex,http://youtube.com/channel/UC8rNKrqBxJqL9izOOMxBJtw,Willyrex,Video games,17100000,Mexico,142800,8900,118
340,TEDEducation,http://youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,TED-Ed,Science & Technology,17100000,United States,338600,15100,710
341,STARVIJAY,http://youtube.com/channel/UCvrhwpnp2DHYQ1CbXby9ypQ,Vijay Television,,17100000,India,307400,6300,96
342,Masha e o Urso,http://youtube.com/channel/UCJKBSfD5JSUxGhriFeoPCCg,Masha e o Urso,,17100000,,589500,3800,
343,Gaby and Alex,http://youtube.com/channel/UCHwBjRoGO1V-H8QYXjSVHkQ,Gaby and Alex,Toys,17100000,,310100,382,
344,HowToBasic,http://youtube.com/channel/UCR4s1DE9J4DHzZYXMltSMAg,HowToBasic,Food & Drinks,17100000,United States,679800,45900,3500
345,grammygoldofficia,http://youtube.com/channel/UCFWsjsN53Sqvg2pWhSFmWBQ,Grammy Gold Official,Music & Dance,17100000,Thailand,15300,540,14
346,Kids Channel India - Hindi Rhymes and Baby Songs,http://youtube.com/channel/UCR1hQY5sz5NEYofdv09XimA,Kids Channel India - Hindi Rhymes and Baby Songs,Education,17100000,,105200,824,
347,SUPER SLICK SLIME SAM,http://youtube.com/channel/UCfRgJADdLXwrcjIuTxn_u3Q,SUPER SLICK SLIME SAM,,16900000,Mexico,367200,9900,
348,aynakoitsroi,http://youtube.com/channel/UCMNmwqCtCSpftrbvR3KkHDA,Guava Juice,,16900000,United States,201700,3800,141
349,musicalrmastv,http://youtube.com/channel/UCVrstuGnHjpUXr9G98wwKow,الـريماس - Al-Remas,Music & Dance,16900000,Iraq,196300,4600,257
350,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,http://youtube.com/channel/UCvEAgG7WzPZnZkf9iOV_YCg,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Education,16900000,,36100,211,
351,ArabGamesNetwork,http://youtube.com/channel/UCV2JkEBmtfSYGAIlprAhAyQ,شبكة العاب العرب | Arab Games Network,,16900000,Algeria,289000,24800,1000000
352,JasonDerulo,http://youtube.com/channel/UCe3yZzUwpmy2eKKmF9svX0Q,Jason Derulo,Music & Dance,16800000,United States,51300,3400,61
353,IGNentertainment,http://youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw,IGN,,16700000,United States,58100,1400,160
354,Rafa & Luiz,http://youtube.com/channel/UC6paX0kLA8D81aYogceMufw,Rafa & Luiz,Video games,16700000,Brazil,553000,34500,856
355,Tu COSMOPOLIS,http://youtube.com/channel/UCo4ywJQXfUIB0lCBpczW3cA,Tu COSMOPOLIS,News & Politics,16700000,Mexico,99100,7600,751
356,Jane ASMR 제인,http://youtube.com/channel/UC2fsxQr6Hcx1enORxXgKpxQ,Jane ASMR 제인,Daily vlogs,16700000,United States,381000,7000,378
357,हिंदी - Genevieve's Playhouse,http://youtube.com/channel/UCJhSN5ic1QXn1doXzdiiCGQ,हिंदी - Genevieve's Playhouse,Education,16700000,,2000000,16200,
358,jquintanac5,http://youtube.com/channel/UCq_oSgHK9lk6NUUgkhUOPnw,DeToxoMoroxo,MoviesAnimation,16700000,Mexico,480300,19700,6200
359,AnittaOficial,http://youtube.com/channel/UCqjjyPUghDSSKFBABM_CXMw,Anitta,Music & Dance,16700000,Brazil,36000,3600,118
360,Triggered Insaan,http://youtube.com/channel/UCfLuT3JwLx8rvHjHfTymekw,Triggered Insaan,Humor,16500000,India,7000000,759000,41300
361,TheBrianMaps,http://youtube.com/channel/UCyJrhZm9KXrzRub3-wD2zWg,TheBrianMaps,Video gamesHumor,16500000,Russia,3200000,255400,13300
362,iberethenorio,http://youtube.com/channel/UCKHhA5hN2UohhFDfNXB_cvQ,Manual do Mundo,Science & Technology,16400000,Brazil,375800,44600,594
